NaN,NaN,NaN
0.004,-0.002,0
0.084,-0.14,0
0.107,-0.267,0
0.13,-0.421,0
0.153,-0.602,0
0.176,-0.81,0
0.199,-1.044,0
0.222,-1.305,0
0.244,-1.593,0
0.267,-1.907,0
0.29,-2.249,0
0.313,-2.617,0
0.336,-3.012,0
0.359,-3.433,0
0.382,-3.882,0
0.405,-4.357,0
0.428,-4.859,0
0.45,-5.384,0
0.473,-5.933,0
0.496,-6.506,0
0.519,-7.104,0
0.542,-7.721,0
0.565,-8.359,0
0.588,-9.02,0
0.611,-9.705,0
0.633,-10.403,0
0.657,-11.123,0
0.681,-11.864,0
0.705,-12.62,0
0.729,-13.385,0
0.753,-14.163,0
0.777,-14.951,0
0.801,-15.746,0
0.825,-16.545,0
0.849,-17.346,0
0.873,-18.155,0
0.897,-18.959,0
0.92,-19.766,0
0.944,-20.568,0
0.968,-21.365,0
0.992,-22.146,0
1.016,-22.918,0
1.111,-24.625,0
1.135,-25.409,0
1.159,-26.172,0
1.183,-26.912,0
1.206,-27.628,0
1.23,-28.323,0
1.254,-28.998,0
1.278,-29.65,0
1.302,-30.28,0
1.326,-30.89,0
1.35,-31.475,0
1.374,-32.034,0
1.398,-32.566,0
1.422,-33.079,0
1.446,-33.571,0
1.47,-34.037,0
1.494,-34.487,0
1.517,-34.915,0
1.541,-35.314,0
1.565,-35.687,0
1.589,-36.047,0
1.613,-36.387,0
1.637,-36.712,0
1.661,-37.021,0
1.685,-37.311,0
1.709,-37.578,0
1.733,-37.826,0
1.757,-38.058,0
1.781,-38.277,0
1.804,-38.487,0
1.828,-38.684,0
1.852,-38.862,0
1.876,-39.029,0
1.9,-39.183,0
1.924,-39.327,0
1.948,-39.461,0
1.972,-39.582,0
1.996,-39.698,0
2.02,-39.793,0
2.114,-40.792,0
2.138,-40.786,0
2.162,-40.775,0
2.186,-40.752,0
2.21,-40.732,0
2.234,-40.71,0
2.258,-40.689,0
2.282,-40.664,0
2.306,-40.622,0
2.33,-40.586,0
2.354,-40.553,0
2.378,-40.507,0
2.401,-40.45,0
2.425,-40.389,0
2.449,-40.332,0
2.473,-40.28,0
2.497,-40.231,0
2.521,-40.177,0
2.545,-40.116,0
2.569,-40.055,0
2.593,-39.995,0
2.617,-39.943,0
2.641,-39.88,0
2.665,-39.817,0.012
2.688,-39.757,0
2.712,-39.698,0
2.736,-39.636,0
2.76,-39.568,0
2.784,-39.499,0
2.808,-39.434,0
2.832,-39.364,0
2.856,-39.297,0
2.88,-39.237,0
2.904,-39.17,0
2.928,-39.099,0
2.952,-39.027,0
2.976,-38.955,0
2.999,-38.885,0.012
3.023,-38.82,0.012
3.118,-39.08,0
3.142,-38.965,0
3.166,-38.857,0
3.19,-38.748,0
3.214,-38.65,0
3.238,-38.546,0
3.262,-38.443,0
3.285,-38.339,0
3.309,-38.24,0
3.333,-38.145,0.012
3.357,-38.061,0.023
3.381,-37.974,0.047
3.405,-37.896,0.07
3.429,-37.819,0.106
3.453,-37.75,0.117
3.477,-37.683,0.152
3.501,-37.621,0.188
3.525,-37.556,0.223
3.549,-37.497,0.246
3.572,-37.443,0.27
3.596,-37.385,0.293
3.62,-37.331,0.328
3.644,-37.274,0.352
3.668,-37.219,0.375
3.692,-37.161,0.411
3.716,-37.105,0.434
3.74,-37.05,0.457
3.764,-36.994,0.481
3.788,-36.936,0.493
3.812,-36.895,0.551
3.836,-36.84,0.575
3.86,-36.805,0.598
3.883,-36.805,0.622
3.907,-36.788,0.61
3.931,-36.761,0.657
3.955,-36.724,0.645
3.979,-36.682,0.669
4.003,-36.625,0.68
4.098,-36.656,0.645
4.122,-36.617,0.657
4.146,-36.57,0.669
4.169,-36.518,0.68
4.193,-36.478,0.657
4.217,-36.441,0.657
4.241,-36.391,0.692
4.265,-36.35,0.692
4.289,-36.303,0.692
4.313,-36.226,0.657
4.337,-36.203,0.657
4.361,-36.194,0.68
4.385,-36.141,0.692
4.409,-36.133,0.657
4.433,-36.105,0.657
4.456,-36.039,0.692
4.48,-35.982,0.669
4.504,-35.943,0.657
4.528,-35.946,0.692
4.552,-35.95,0.692
4.576,-35.89,0.669
4.6,-35.883,0.669
4.624,-35.858,0.692
4.648,-35.844,0.669
4.672,-35.822,0.669
4.696,-35.828,0.692
4.72,-35.828,0.692
4.744,-35.838,0.692
4.767,-35.849,0.68
4.791,-35.877,0.669
4.815,-35.896,0.692
4.839,-35.931,0.692
4.863,-35.946,0.68
4.887,-35.976,0.669
4.911,-35.976,0.692
4.935,-35.995,0.692
4.959,-36.011,0.669
4.983,-36.015,0.692
5.007,-35.965,0.68
5.101,-36.034,0.692
5.125,-35.986,0.669
5.149,-35.941,0.68
5.173,-35.865,0.68
5.197,-35.826,0.669
5.221,-35.825,0.704
5.245,-35.751,0.692
5.269,-35.684,0.68
5.293,-35.607,0.692
5.317,-35.567,0.692
5.34,-35.594,0.669
5.364,-35.577,0.669
5.388,-35.531,0.704
5.412,-35.489,0.68
5.436,-35.462,0.669
5.46,-35.492,0.657
5.484,-35.53,0.68
5.508,-35.543,0.68
5.532,-35.569,0.68
5.556,-35.564,0.657
5.58,-35.529,0.692
5.604,-35.506,0.716
5.628,-35.479,0.68
5.651,-35.516,0.68
5.675,-35.529,0.716
5.699,-35.515,0.704
5.723,-35.56,0.68
5.747,-35.594,0.68
5.771,-35.563,0.669
5.795,-35.533,0.669
5.819,-35.487,0.704
5.843,-35.438,0.68
5.867,-35.416,0.68
5.891,-35.412,0.704
5.915,-35.426,0.716
5.938,-35.383,0.692
5.962,-35.355,0.68
5.986,-35.389,0.68
6.01,-35.407,0.68
6.105,-35.406,0.669
6.129,-35.418,0.669
6.153,-35.403,0.692
6.177,-35.35,0.68
6.201,-35.32,0.692
6.225,-35.276,0.657
6.248,-35.201,0.68
6.272,-35.163,0.692
6.296,-35.139,0.68
6.32,-35.118,0.68
6.344,-35.124,0.692
6.368,-35.127,0.704
6.392,-35.135,0.716
6.416,-35.131,0.68
6.44,-35.135,0.669
6.464,-35.159,0.716
6.488,-35.137,0.716
6.512,-35.126,0.68
6.535,-35.161,0.716
6.559,-35.151,0.704
6.583,-35.15,0.68
6.607,-35.203,0.68
6.631,-35.22,0.68
6.655,-35.241,0.68
6.679,-35.299,0.716
6.703,-35.299,0.68
6.727,-35.31,0.692
6.751,-35.364,0.68
6.775,-35.38,0.716
6.799,-35.387,0.692
6.822,-35.45,0.692
6.846,-35.469,0.68
6.87,-35.469,0.68
6.894,-35.518,0.704
6.918,-35.543,0.692
6.942,-35.536,0.68
6.966,-35.586,0.704
6.99,-35.614,0.716
7.014,-35.615,0.716
7.108,-35.748,0.727
7.132,-35.833,0.692
7.156,-35.866,0.716
7.18,-35.96,0.692
7.204,-36.042,0.727
7.228,-36.06,0.692
7.252,-36.137,0.692
7.276,-36.213,0.716
7.3,-36.232,0.727
7.324,-36.302,0.704
7.348,-36.364,0.704
7.372,-36.374,0.727
7.396,-36.426,0.704
7.419,-36.484,0.704
7.443,-36.489,0.704
7.467,-36.538,0.716
7.491,-36.584,0.739
7.515,-36.586,0.704
7.539,-36.629,0.704
7.563,-36.671,0.704
7.587,-36.657,0.751
7.611,-36.696,0.704
7.635,-36.713,0.716
7.659,-36.677,0.704
7.683,-36.7,0.716
7.706,-36.695,0.739
7.73,-36.648,0.751
7.754,-36.664,0.739
7.778,-36.649,0.704
7.802,-36.597,0.704
7.826,-36.601,0.751
7.85,-36.554,0.716
7.874,-36.497,0.716
7.898,-36.498,0.727
7.922,-36.445,0.727
7.946,-36.39,0.716
7.97,-36.364,0.762
7.994,-36.303,0.762
8.017,-36.238,0.739
8.112,-36.136,0.762
8.136,-36.087,0.774
8.16,-36.033,0.762
8.184,-35.935,0.774
8.208,-35.872,0.739
8.232,-35.801,0.751
8.256,-35.697,0.774
8.28,-35.624,0.774
8.303,-35.586,0.774
8.327,-35.525,0.751
8.351,-35.563,0.751
8.375,-35.61,0.786
8.399,-35.593,0.762
8.423,-35.649,0.739
8.447,-35.648,0.774
8.471,-35.633,0.762
8.495,-35.62,0.762
8.519,-35.61,0.762
8.543,-35.593,0.751
8.567,-35.518,0.774
8.59,-35.472,0.786
8.614,-35.441,0.751
8.638,-35.393,0.751
8.662,-35.412,0.786
8.686,-35.455,0.762
8.71,-35.445,0.762
8.734,-35.505,0.751
8.758,-35.515,0.774
8.782,-35.516,0.786
8.806,-35.491,0.774
8.83,-35.478,0.774
8.854,-35.461,0.762
8.878,-35.42,0.762
8.901,-35.418,0.786
8.925,-35.456,0.786
8.949,-35.429,0.786
8.973,-35.477,0.798
8.997,-35.483,0.809
9.021,-35.481,0.798
9.116,-35.415,0.809
9.14,-35.397,0.798
9.164,-35.418,0.809
9.187,-35.386,0.809
9.211,-35.44,0.786
9.235,-35.454,0.786
9.259,-35.454,0.798
9.283,-35.426,0.798
9.307,-35.416,0.786
9.331,-35.406,0.786
9.355,-35.367,0.798
9.379,-35.371,0.809
9.403,-35.424,0.786
9.427,-35.411,0.809
9.451,-35.458,0.774
9.474,-35.463,0.798
9.498,-35.442,0.786
9.522,-35.37,0.798
9.546,-35.324,0.809
9.57,-35.308,0.809
9.594,-35.26,0.809
