Time,angle,PWM Volt
3.959,0.817,1.701
3.961,0.986,1.677
3.963,1.156,1.689
3.965,1.33,1.689
3.967,1.502,1.701
3.97,1.662,1.666
3.972,1.812,1.689
3.974,1.953,1.677
3.976,2.076,1.689
3.978,2.181,1.677
3.98,2.275,1.701
3.983,2.371,1.701
3.985,2.47,1.701
3.987,2.572,1.701
3.989,2.671,1.689
3.991,2.764,1.701
3.994,2.846,1.677
3.996,2.927,1.701
3.998,3.01,1.689
4,3.091,1.666
4.01,3.32,1.701
4.012,3.44,1.666
4.014,3.565,1.689
4.016,3.67,1.689
4.018,3.768,1.689
4.021,3.862,1.689
4.023,3.951,1.689
4.025,4.045,1.677
4.027,4.139,1.677
4.029,4.228,1.677
4.031,4.313,1.689
4.034,4.395,1.689
4.036,4.472,1.677
4.038,4.542,1.701
4.04,4.605,1.701
4.042,4.658,1.701
4.044,4.705,1.701
4.047,4.754,1.701
4.049,4.794,1.677
4.051,4.83,1.677
4.053,4.859,1.701
4.055,4.882,1.701
4.058,4.89,1.701
4.06,4.885,1.701
4.062,4.868,1.701
4.064,4.835,1.701
4.066,4.79,1.701
4.069,4.73,1.689
4.071,4.661,1.689
4.073,4.585,1.701
4.075,4.505,1.666
4.077,4.423,1.666
4.079,4.35,1.666
4.082,4.29,1.666
4.084,4.242,1.677
4.086,4.198,1.689
4.088,4.162,1.677
4.09,4.121,1.677
4.093,4.081,1.677
4.095,4.038,1.713
4.097,3.994,1.666
4.099,3.957,1.677
4.101,3.934,1.677
4.11,4.023,1.689
4.113,3.995,1.677
4.115,3.967,1.677
4.117,3.931,1.701
4.119,3.892,1.701
4.121,3.86,1.701
4.124,3.84,1.701
4.126,3.826,1.677
4.128,3.824,1.701
4.13,3.827,1.701
4.132,3.835,1.677
4.135,3.842,1.689
4.137,3.847,1.677
4.139,3.837,1.677
4.141,3.833,1.677
4.143,3.838,1.701
4.145,3.844,1.701
4.148,3.862,1.666
4.15,3.887,1.701
4.152,3.924,1.666
4.154,3.993,1.666
4.156,4.078,1.689
4.158,4.171,1.677
4.161,4.272,1.677
4.163,4.363,1.677
4.165,4.452,1.677
4.167,4.532,1.701
4.169,4.594,1.677
4.172,4.64,1.677
4.174,4.675,1.701
4.176,4.696,1.654
4.178,4.709,1.701
4.18,4.711,1.666
4.183,4.705,1.677
4.185,4.708,1.677
4.187,4.721,1.701
4.189,4.734,1.677
4.191,4.749,1.677
4.193,4.765,1.713
4.196,4.779,1.713
4.198,4.788,1.701
4.2,4.795,1.701
4.209,4.907,1.677
4.212,4.909,1.701
4.214,4.902,1.713
4.216,4.875,1.689
4.218,4.835,1.677
4.22,4.781,1.677
4.222,4.707,1.666
4.225,4.624,1.689
4.227,4.54,1.689
4.229,4.46,1.701
4.231,4.387,1.677
4.233,4.323,1.701
4.236,4.261,1.701
4.238,4.209,1.701
4.24,4.164,1.677
4.242,4.124,1.677
4.244,4.088,1.713
4.247,4.055,1.701
4.249,4.021,1.713
4.251,3.989,1.701
4.253,3.954,1.701
4.255,3.916,1.689
4.257,3.873,1.689
4.26,3.833,1.677
4.262,3.789,1.677
4.264,3.746,1.677
4.266,3.704,1.677
4.268,3.658,1.689
4.27,3.61,1.689
4.273,3.562,1.677
4.275,3.509,1.713
4.277,3.451,1.701
4.279,3.381,1.701
4.281,3.297,1.701
4.284,3.201,1.701
4.286,3.089,1.701
4.288,2.966,1.689
4.29,2.833,1.701
4.292,2.696,1.701
4.295,2.561,1.689
4.297,2.428,1.689
4.299,2.301,1.677
4.301,2.182,1.677
4.311,2.179,1.677
4.313,2.125,1.701
4.315,2.093,1.701
4.317,2.076,1.677
4.319,2.072,1.677
4.321,2.073,1.701
4.324,2.081,1.689
4.326,2.085,1.677
4.328,2.065,1.701
4.33,2.019,1.677
4.332,1.945,1.677
4.335,1.869,1.689
4.337,1.793,1.677
4.339,1.718,1.677
4.341,1.651,1.701
4.343,1.578,1.701
4.345,1.519,1.701
4.348,1.471,1.654
4.35,1.417,1.701
4.352,1.377,1.701
4.354,1.349,1.701
4.356,1.317,1.654
4.359,1.277,1.666
4.361,1.232,1.666
4.363,1.188,1.666
4.365,1.153,1.654
4.367,1.137,1.666
4.37,1.139,1.642
4.372,1.171,1.63
4.374,1.221,1.654
4.376,1.283,1.642
4.378,1.361,1.619
4.38,1.458,1.63
4.383,1.588,1.63
4.385,1.745,1.654
4.387,1.925,1.642
4.389,2.098,1.63
4.391,2.254,1.642
4.394,2.396,1.642
4.396,2.534,1.619
4.398,2.671,1.619
4.4,2.804,1.63
4.409,3,1.63
4.411,3.128,1.63
4.414,3.259,1.654
4.416,3.379,1.595
4.418,3.49,1.642
4.42,3.583,1.654
4.422,3.658,1.619
4.425,3.715,1.619
4.427,3.734,1.63
4.429,3.716,1.642
4.431,3.675,1.63
4.433,3.637,1.63
4.436,3.601,1.619
4.438,3.572,1.63
4.44,3.546,1.619
4.442,3.525,1.642
4.444,3.503,1.63
4.447,3.483,1.63
4.449,3.466,1.654
4.451,3.466,1.654
4.453,3.499,1.63
4.455,3.554,1.63
4.457,3.598,1.619
4.46,3.634,1.642
4.462,3.658,1.63
4.464,3.683,1.654
4.466,3.715,1.63
4.468,3.749,1.642
4.47,3.769,1.654
4.473,3.77,1.654
4.475,3.747,1.63
4.477,3.706,1.654
4.479,3.64,1.642
4.481,3.534,1.654
4.484,3.383,1.654
4.486,3.201,1.619
4.488,3.009,1.607
4.49,2.835,1.654
4.492,2.65,1.619
4.495,2.434,1.63
4.497,2.188,1.642
4.499,1.927,1.642
4.501,1.677,1.654
4.511,1.495,1.654
4.513,1.222,1.619
4.515,0.907,1.63
4.517,0.574,1.63
4.519,0.248,1.642
4.522,-0.076,1.654
4.524,-0.397,1.654
4.526,-0.72,1.63
4.528,-1.039,1.654
4.531,-1.354,1.654
4.533,-1.667,1.619
4.535,-1.973,1.654
4.538,-2.276,1.619
4.54,-2.571,1.654
4.542,-2.862,1.607
4.544,-3.17,1.654
4.547,-3.484,1.619
4.549,-3.776,1.654
4.551,-4.059,1.619
4.554,-4.328,1.654
4.556,-4.584,1.63
4.558,-4.86,1.63
4.56,-5.119,1.63
4.563,-5.392,1.63
4.565,-5.647,1.63
4.567,-5.889,1.654
4.57,-6.119,1.619
4.572,-6.346,1.654
4.574,-6.567,1.619
4.576,-6.789,1.654
4.579,-7.007,1.63
4.581,-7.227,1.619
4.583,-7.465,1.63
4.586,-7.707,1.654
4.588,-7.955,1.63
4.59,-8.21,1.63
4.593,-8.475,1.63
4.595,-8.757,1.654
4.597,-9.048,1.63
4.599,-9.351,1.63
4.602,-9.66,1.63
4.611,-9.959,1.654
4.613,-10.167,1.619
4.616,-10.312,1.63
4.618,-10.438,1.654
4.62,-10.566,1.654
4.623,-10.712,1.63
4.625,-10.846,1.654
4.628,-10.922,1.63
4.63,-10.956,1.63
4.632,-10.963,1.63
4.635,-10.941,1.619
4.637,-10.904,1.63
4.64,-10.885,1.619
4.642,-10.896,1.654
4.644,-10.912,1.642
4.647,-10.893,1.642
4.649,-10.864,1.642
4.652,-10.884,1.654
4.654,-10.965,1.642
4.69061271,8.343005393,1.919915373
4.693130383,8.38017841,1.920522635
4.695648055,8.417351427,1.921129896
4.698165728,8.454524445,1.921737158
4.700683401,8.491697462,1.92234442
4.703201074,8.528870479,1.922951682
4.705718747,8.566043497,1.923558943
4.708236419,8.603216514,1.924166205
4.710754092,8.640389531,1.924773467
4.713271765,8.677562549,1.925380729
4.715789438,8.714735566,1.925987991
4.718307111,8.751908583,1.926595252
4.720824783,8.789081601,1.927202514
4.723342456,8.826254618,1.927809776
4.725860129,8.863427636,1.928417038
4.728377802,8.900600653,1.929024299
4.730895475,8.93777367,1.929631561
4.733413148,8.974946688,1.930238823
4.73593082,9.012119705,1.930846085
4.738448493,9.049292722,1.931453346
4.740966166,9.08646574,1.932060608
4.743483839,9.123638757,1.93266787
4.746001512,9.160811774,1.933275132
4.748519184,9.197984792,1.933882394
4.751036857,9.235157809,1.934489655
4.75355453,9.272330826,1.935096917
4.756072203,9.309503844,1.935704179
4.758589876,9.346676861,1.936311441
4.761107548,9.383849878,1.936918702
4.763625221,9.421022896,1.937525964
4.766142894,9.458195913,1.938133226
4.768660567,9.495368931,1.938740488
4.77117824,9.532541948,1.93934775
4.773695912,9.569714965,1.939955011
4.776213585,9.606887983,1.940562273
4.778731258,9.644061,1.941169535
4.781248931,9.681234017,1.941776797
4.783766604,9.718407035,1.942384058
4.786284276,9.755580052,1.94299132
4.788801949,9.792753069,1.943598582
4.791319622,9.829926087,1.944205844
4.793837295,9.867099104,1.944813105
4.796354968,9.904272121,1.945420367
4.798872641,9.941445139,1.946027629
4.801390313,9.978618156,1.946634891
4.803907986,10.01579117,1.947242153
4.806425659,10.05296419,1.947849414
4.808943332,10.09013721,1.948456676
4.811461005,10.12731023,1.949063938
4.813978677,10.16448324,1.9496712
4.81649635,10.20165626,1.950278461
4.819014023,10.23882928,1.950885723
4.821531696,10.27600229,1.951492985
4.824049369,10.31317531,1.952100247
4.826567041,10.35034833,1.952707509
4.829084714,10.38752135,1.95331477
4.831602387,10.42469436,1.953922032
4.83412006,10.46186738,1.954529294
4.836637733,10.4990404,1.955136556
4.839155405,10.53621342,1.955743817
4.841673078,10.57338643,1.956351079
4.844190751,10.61055945,1.956958341
4.846708424,10.64773247,1.957565603
4.849226097,10.68490549,1.958172864
4.851743769,10.7220785,1.958780126
4.854261442,10.75925152,1.959387388
4.856779115,10.79642454,1.95999465
4.859296788,10.83359756,1.960601912
4.861814461,10.87077057,1.961209173
4.864332134,10.90794359,1.961816435
4.866849806,10.94511661,1.962423697
4.869367479,10.98228962,1.963030959
4.871885152,11.01946264,1.96363822
4.874402825,11.05663566,1.964245482
4.876920498,11.09380868,1.964852744
4.87943817,11.13098169,1.965460006
4.881955843,11.16815471,1.966067268
4.884473516,11.20532773,1.966674529
4.886991189,11.24250075,1.967281791
4.889508862,11.27967376,1.967889053
4.892026534,11.31684678,1.968496315
4.894544207,11.3540198,1.969103576
4.89706188,11.39119282,1.969710838
4.899579553,11.42836583,1.9703181
4.902097226,11.46553885,1.970925362
4.904614898,11.50271187,1.971532623
4.907132571,11.53988488,1.972139885
4.909650244,11.5770579,1.972747147
4.912167917,11.61423092,1.973354409
4.91468559,11.65140394,1.973961671
4.917203262,11.68857695,1.974568932
4.919720935,11.72574997,1.975176194
4.922238608,11.76292299,1.975783456
4.924756281,11.80009601,1.976390718
4.927273954,11.83726902,1.976997979
4.929791627,11.87444204,1.977605241
4.932309299,11.91161506,1.978212503
4.934826972,11.94878808,1.978819765
4.937344645,11.98596109,1.979427027
4.939862318,12.02313411,1.980034288
4.942379991,12.06030713,1.98064155
4.944897663,12.09748015,1.981248812
4.947415336,12.13465316,1.981856074
4.949933009,12.17182618,1.982463335
4.952450682,12.2089992,1.983070597
4.954968355,12.24617221,1.983677859
4.957486027,12.28334523,1.984285121
4.9600037,12.32051825,1.984892383
4.962521373,12.35769127,1.985499644
4.965039046,12.39486428,1.986106906
4.967556719,12.4320373,1.986714168
4.970074391,12.46921032,1.98732143
4.972592064,12.50638334,1.987928691
4.975109737,12.54355635,1.988535953
4.97762741,12.58072937,1.989143215
4.980145083,12.61790239,1.989750477
4.982662755,12.65507541,1.990357738
4.985180428,12.69224842,1.990965
4.987698101,12.72942144,1.991572262
4.990215774,12.76659446,1.992179524
4.992733447,12.80376747,1.992786786
4.99525112,12.84094049,1.993394047
4.997768792,12.87811351,1.994001309
5.000286465,12.91528653,1.994608571
5.002804138,12.95245954,1.995215833
5.005321811,12.98963256,1.995823094
5.007839484,13.02680558,1.996430356
5.010357156,13.0639786,1.997037618
5.012874829,13.10115161,1.99764488
5.015392502,13.13832463,1.998252142
5.017910175,13.17549765,1.998859403
5.020427848,13.21267067,1.999466665
5.02294552,13.24984368,2.000073927
5.025463193,13.2870167,2.000681189
5.027980866,13.32418972,2.00128845
5.030498539,13.36136274,2.001895712
5.033016212,13.39853575,2.002502974
5.035533884,13.43570877,2.003110236
5.038051557,13.47288179,2.003717497
5.04056923,13.5100548,2.004324759
5.043086903,13.54722782,2.004932021
5.045604576,13.58440084,2.005539283
5.048122248,13.62157386,2.006146545
5.050639921,13.65874687,2.006753806
5.053157594,13.69591989,2.007361068
5.055675267,13.73309291,2.00796833
5.05819294,13.77026593,2.008575592
5.060710613,13.80743894,2.009182853
5.063228285,13.84461196,2.009790115
5.065745958,13.88178498,2.010397377
5.068263631,13.918958,2.011004639
5.070781304,13.95613101,2.011611901
5.073298977,13.99330403,2.012219162
5.075816649,14.03047705,2.012826424
5.078334322,14.06765006,2.013433686
5.080851995,14.10482308,2.014040948
5.083369668,14.1419961,2.014648209
5.085887341,14.17916912,2.015255471
5.088405013,14.21634213,2.015862733
5.090922686,14.25351515,2.016469995
5.093440359,14.29068817,2.017077256
5.095958032,14.32786119,2.017684518
5.098475705,14.3650342,2.01829178
5.100993377,14.40220722,2.018899042
5.10351105,14.43938024,2.019506304
5.106028723,14.47655326,2.020113565
5.108546396,14.51372627,2.020720827
5.111064069,14.55089929,2.021328089
5.113581741,14.58807231,2.021935351
5.116099414,14.62524533,2.022542612
5.118617087,14.66241834,2.023149874
5.12113476,14.69959136,2.023757136
5.123652433,14.73676438,2.024364398
5.126170106,14.77393739,2.02497166
5.128687778,14.81111041,2.025578921
5.131205451,14.84828343,2.026186183
5.133723124,14.88545645,2.026793445
5.136240797,14.92262946,2.027400707
5.13875847,14.95980248,2.028007968
5.141276142,14.9969755,2.02861523
5.143793815,15.03414852,2.029222492
5.146311488,15.07132153,2.029829754
5.148829161,15.10849455,2.030437016
5.151346834,15.14566757,2.031044277
5.153864506,15.18284059,2.031651539
5.156382179,15.2200136,2.032258801
5.158899852,15.25718662,2.032866063
5.161417525,15.29435964,2.033473324
5.163935198,15.33153265,2.034080586
5.16645287,15.36870567,2.034687848
5.168970543,15.40587869,2.03529511
5.171488216,15.44305171,2.035902371
5.174005889,15.48022472,2.036509633
5.176523562,15.51739774,2.037116895
5.179041234,15.55457076,2.037724157
5.181558907,15.59174378,2.038331419
5.18407658,15.62891679,2.03893868
5.186594253,15.66608981,2.039545942
5.189111926,15.70326283,2.040153204
5.191629599,15.74043585,2.040760466
5.194147271,15.77760886,2.041367727
5.196664944,15.81478188,2.041974989
5.199182617,15.8519549,2.042582251
5.20170029,15.88912792,2.043189513
5.204217963,15.92630093,2.043796775
5.206735635,15.96347395,2.044404036
5.209253308,16.00064697,2.045011298
5.211770981,16.03781998,2.04561856
5.214288654,16.074993,2.046225822
5.216806327,16.11216602,2.046833083
5.219323999,16.14933904,2.047440345
5.221841672,16.18651205,2.048047607
5.224359345,16.22368507,2.048654869
5.226877018,16.26085809,2.04926213
5.229394691,16.29803111,2.049869392
5.231912363,16.33520412,2.050476654
5.234430036,16.37237714,2.051083916
5.236947709,16.40955016,2.051691178
5.239465382,16.44672318,2.052298439
5.241983055,16.48389619,2.052905701
5.244500727,16.52106921,2.053512963
5.2470184,16.55824223,2.054120225
5.249536073,16.59541524,2.054727486
5.252053746,16.63258826,2.055334748
5.254571419,16.66976128,2.05594201
5.257089092,16.7069343,2.056549272
5.259606764,16.74410731,2.057156534
5.262124437,16.78128033,2.057763795
5.26464211,16.81845335,2.058371057
5.267159783,16.85562637,2.058978319
5.269677456,16.89279938,2.059585581
5.272195128,16.9299724,2.060192842
5.274712801,16.96714542,2.060800104
5.277230474,17.00431844,2.061407366
5.279748147,17.04149145,2.062014628
5.28226582,17.07866447,2.062621889
5.284783492,17.11583749,2.063229151
5.287301165,17.15301051,2.063836413
5.289818838,17.19018352,2.064443675
5.292336511,17.22735654,2.065050937
5.294854184,17.26452956,2.065658198
5.297371856,17.30170257,2.06626546
5.299889529,17.33887559,2.066872722
5.302407202,17.37604861,2.067479984
5.304924875,17.41322163,2.068087245
5.307442548,17.45039464,2.068694507
5.30996022,17.48756766,2.069301769
5.312477893,17.52474068,2.069909031
5.314995566,17.5619137,2.070516293
5.317513239,17.59908671,2.071123554
5.320030912,17.63625973,2.071730816
5.322548585,17.67343275,2.072338078
5.325066257,17.71060577,2.07294534
5.32758393,17.74777878,2.073552601
5.330101603,17.7849518,2.074159863
5.332619276,17.82212482,2.074767125
5.335136949,17.85929783,2.075374387
5.337654621,17.89647085,2.075981649
5.340172294,17.93364387,2.07658891
5.342689967,17.97081689,2.077196172
5.34520764,18.0079899,2.077803434
5.347725313,18.04516292,2.078410696
5.350242985,18.08233594,2.079017957
5.352760658,18.11950896,2.079625219
5.355278331,18.15668197,2.080232481
5.357796004,18.19385499,2.080839743
5.360313677,18.23102801,2.081447004
5.362831349,18.26820103,2.082054266
5.365349022,18.30537404,2.082661528
5.367866695,18.34254706,2.08326879
5.370384368,18.37972008,2.083876052
5.372902041,18.41689309,2.084483313
5.375419713,18.45406611,2.085090575
5.377937386,18.49123913,2.085697837
5.380455059,18.52841215,2.086305099
5.382972732,18.56558516,2.08691236
5.385490405,18.60275818,2.087519622
5.388008078,18.6399312,2.088126884
5.39052575,18.67710422,2.088734146
5.393043423,18.71427723,2.089341408
5.395561096,18.75145025,2.089948669
5.398078769,18.78862327,2.090555931
5.400596442,18.82579629,2.091163193
5.403114114,18.8629693,2.091770455
5.405631787,18.90014232,2.092377716
5.40814946,18.93731534,2.092984978
5.410667133,18.97448836,2.09359224
5.413184806,19.01166137,2.094199502
5.415702478,19.04883439,2.094806763
5.418220151,19.08600741,2.095414025
5.420737824,19.12318042,2.096021287
5.423255497,19.16035344,2.096628549
5.42577317,19.19752646,2.097235811
5.428290842,19.23469948,2.097843072
5.430808515,19.27187249,2.098450334
5.433326188,19.30904551,2.099057596
5.435843861,19.34621853,2.099664858
5.438361534,19.38339155,2.100272119
5.440879206,19.42056456,2.100879381
5.443396879,19.45773758,2.101486643
5.445914552,19.4949106,2.102093905
5.448432225,19.53208362,2.102701167
5.450949898,19.56925663,2.103308428
5.453467571,19.60642965,2.10391569
5.455985243,19.64360267,2.104522952
5.458502916,19.68077568,2.105130214
5.461020589,19.7179487,2.105737475
5.463538262,19.75512172,2.106344737
5.466055935,19.79229474,2.106951999
5.468573607,19.82946775,2.107559261
5.47109128,19.86664077,2.108166522
5.473608953,19.90381379,2.108773784
5.476126626,19.94098681,2.109381046
5.478644299,19.97815982,2.109988308
5.481161971,20.01533284,2.11059557
5.483679644,20.05250586,2.111202831
5.486197317,20.08967888,2.111810093
5.48871499,20.12685189,2.112417355
5.491232663,20.16402491,2.113024617
5.493750335,20.20119793,2.113631878
5.496268008,20.23837095,2.11423914
5.498785681,20.27554396,2.114846402
5.501303354,20.31271698,2.115453664
5.503821027,20.34989,2.116060926
5.506338699,20.38706301,2.116668187
5.508856372,20.42423603,2.117275449
5.511374045,20.46140905,2.117882711
5.513891718,20.49858207,2.118489973
5.516409391,20.53575508,2.119097234
5.518927064,20.5729281,2.119704496
5.521444736,20.61010112,2.120311758
5.523962409,20.64727414,2.12091902
5.526480082,20.68444715,2.121526282
5.528997755,20.72162017,2.122133543
5.531515428,20.75879319,2.122740805
5.5340331,20.79596621,2.123348067
5.536550773,20.83313922,2.123955329
5.539068446,20.87031224,2.12456259
5.541586119,20.90748526,2.125169852
5.544103792,20.94465827,2.125777114
5.546621464,20.98183129,2.126384376
5.549139137,21.01900431,2.126991637
5.55165681,21.05617733,2.127598899
5.554174483,21.09335034,2.128206161
5.556692156,21.13052336,2.128813423
5.559209828,21.16769638,2.129420685
5.561727501,21.2048694,2.130027946
5.564245174,21.24204241,2.130635208
5.566762847,21.27921543,2.13124247
5.56928052,21.31638845,2.131849732
5.571798192,21.35356147,2.132456993
5.574315865,21.39073448,2.133064255
5.576833538,21.4279075,2.133671517
5.579351211,21.46508052,2.134278779
5.581868884,21.50225354,2.134886041
5.584386557,21.53942655,2.135493302
5.586904229,21.57659957,2.136100564
5.589421902,21.61377259,2.136707826
5.591939575,21.6509456,2.137315088
5.594457248,21.68811862,2.137922349
5.596974921,21.72529164,2.138529611
5.599492593,21.76246466,2.139136873
5.602010266,21.79963767,2.139744135
5.604527939,21.83681069,2.140351396
5.607045612,21.87398371,2.140958658
5.609563285,21.91115673,2.14156592
5.612080957,21.94832974,2.142173182
5.61459863,21.98550276,2.142780444
5.617116303,22.02267578,2.143387705
5.619633976,22.0598488,2.143994967
5.622151649,22.09702181,2.144602229
5.624669321,22.13419483,2.145209491
5.627186994,22.17136785,2.145816752
5.629704667,22.20854086,2.146424014
5.63222234,22.24571388,2.147031276
5.634740013,22.2828869,2.147638538
5.637257685,22.32005992,2.1482458
5.639775358,22.35723293,2.148853061
5.642293031,22.39440595,2.149460323
5.644810704,22.43157897,2.150067585
5.647328377,22.46875199,2.150674847
5.649846049,22.505925,2.151282108
5.652363722,22.54309802,2.15188937
5.654881395,22.58027104,2.152496632
5.657399068,22.61744406,2.153103894
5.659916741,22.65461707,2.153711155
5.662434414,22.69179009,2.154318417
5.664952086,22.72896311,2.154925679
5.667469759,22.76613613,2.155532941
5.669987432,22.80330914,2.156140203
5.672505105,22.84048216,2.156747464
5.675022778,22.87765518,2.157354726
5.67754045,22.91482819,2.157961988
5.680058123,22.95200121,2.15856925
5.682575796,22.98917423,2.159176511
5.685093469,23.02634725,2.159783773
5.687611142,23.06352026,2.160391035
5.690128814,23.10069328,2.160998297
5.692646487,23.1378663,2.161605559
5.69516416,23.17503932,2.16221282
5.697681833,23.21221233,2.162820082
5.700199506,23.24938535,2.163427344
5.702717178,23.28655837,2.164034606
5.705234851,23.32373139,2.164641867
5.707752524,23.3609044,2.165249129
5.710270197,23.39807742,2.165856391
5.71278787,23.43525044,2.166463653
5.715305542,23.47242345,2.167070915
5.717823215,23.50959647,2.167678176
5.720340888,23.54676949,2.168285438
5.722858561,23.58394251,2.1688927
5.725376234,23.62111552,2.169499962
5.727893907,23.65828854,2.170107223
5.730411579,23.69546156,2.170714485
5.732929252,23.73263458,2.171321747
5.735446925,23.76980759,2.171929009
5.737964598,23.80698061,2.17253627
5.740482271,23.84415363,2.173143532
5.742999943,23.88132665,2.173750794
5.745517616,23.91849966,2.174358056
5.748035289,23.95567268,2.174965318
5.750552962,23.9928457,2.175572579
5.753070635,24.03001872,2.176179841
5.755588307,24.06719173,2.176787103
5.75810598,24.10436475,2.177394365
5.760623653,24.14153777,2.178001626
5.763141326,24.17871078,2.178608888
5.765658999,24.2158838,2.17921615
5.768176671,24.25305682,2.179823412
5.770694344,24.29022984,2.180430674
5.773212017,24.32740285,2.181037935
5.77572969,24.36457587,2.181645197
5.778247363,24.40174889,2.182252459
5.780765035,24.43892191,2.182859721
5.783282708,24.47609492,2.183466982
5.785800381,24.51326794,2.184074244
5.788318054,24.55044096,2.184681506
5.790835727,24.58761398,2.185288768
5.7933534,24.62478699,2.185896029
5.795871072,24.66196001,2.186503291
5.798388745,24.69913303,2.187110553
5.800906418,24.73630604,2.187717815
5.803424091,24.77347906,2.188325077
5.805941764,24.81065208,2.188932338
5.808459436,24.8478251,2.1895396
5.810977109,24.88499811,2.190146862
5.813494782,24.92217113,2.190754124
5.816012455,24.95934415,2.191361385
5.818530128,24.99651717,2.191968647
5.8210478,25.03369018,2.192575909
5.823565473,25.0708632,2.193183171
5.826083146,25.10803622,2.193790433
5.828600819,25.14520924,2.194397694
5.831118492,25.18238225,2.195004956
5.833636164,25.21955527,2.195612218
5.836153837,25.25672829,2.19621948
5.83867151,25.29390131,2.196826741
5.841189183,25.33107432,2.197434003
5.843706856,25.36824734,2.198041265
5.846224528,25.40542036,2.198648527
5.848742201,25.44259337,2.199255788
5.851259874,25.47976639,2.19986305
5.853777547,25.51693941,2.200470312
5.85629522,25.55411243,2.201077574
5.858812893,25.59128544,2.201684836
5.861330565,25.62845846,2.202292097
5.863848238,25.66563148,2.202899359
5.866365911,25.7028045,2.203506621
5.868883584,25.73997751,2.204113883
5.871401257,25.77715053,2.204721144
5.873918929,25.81432355,2.205328406
5.876436602,25.85149657,2.205935668
5.878954275,25.88866958,2.20654293
5.881471948,25.9258426,2.207150192
5.883989621,25.96301562,2.207757453
5.886507293,26.00018863,2.208364715
5.889024966,26.03736165,2.208971977
5.891542639,26.07453467,2.209579239
5.894060312,26.11170769,2.2101865
5.896577985,26.1488807,2.210793762
5.899095657,26.18605372,2.211401024
5.90161333,26.22322674,2.212008286
5.904131003,26.26039976,2.212615548
5.906648676,26.29757277,2.213222809
5.909166349,26.33474579,2.213830071
5.911684021,26.37191881,2.214437333
5.914201694,26.40909183,2.215044595
5.916719367,26.44626484,2.215651856
5.91923704,26.48343786,2.216259118
5.921754713,26.52061088,2.21686638
5.924272386,26.5577839,2.217473642
5.926790058,26.59495691,2.218080903
5.929307731,26.63212993,2.218688165
5.931825404,26.66930295,2.219295427
5.934343077,26.70647596,2.219902689
5.93686075,26.74364898,2.220509951
5.939378422,26.780822,2.221117212
5.941896095,26.81799502,2.221724474
5.944413768,26.85516803,2.222331736
5.946931441,26.89234105,2.222938998
5.949449114,26.92951407,2.223546259
5.951966786,26.96668709,2.224153521
5.954484459,27.0038601,2.224760783
5.957002132,27.04103312,2.225368045
5.959519805,27.07820614,2.225975307
5.962037478,27.11537916,2.226582568
5.96455515,27.15255217,2.22718983
5.967072823,27.18972519,2.227797092
5.969590496,27.22689821,2.228404354
5.972108169,27.26407122,2.229011615
5.974625842,27.30124424,2.229618877
5.977143514,27.33841726,2.230226139
5.979661187,27.37559028,2.230833401
5.98217886,27.41276329,2.231440662
5.984696533,27.44993631,2.232047924
5.987214206,27.48710933,2.232655186
5.989731879,27.52428235,2.233262448
5.992249551,27.56145536,2.23386971
5.994767224,27.59862838,2.234476971
5.997284897,27.6358014,2.235084233
5.99980257,27.67297442,2.235691495
6.002320243,27.71014743,2.236298757
6.004837915,27.74732045,2.236906018
6.007355588,27.78449347,2.23751328
6.009873261,27.82166648,2.238120542
6.012390934,27.8588395,2.238727804
6.014908607,27.89601252,2.239335066
6.017426279,27.93318554,2.239942327
6.019943952,27.97035855,2.240549589
6.022461625,28.00753157,2.241156851
6.024979298,28.04470459,2.241764113
6.027496971,28.08187761,2.242371374
6.030014643,28.11905062,2.242978636
6.032532316,28.15622364,2.243585898
6.035049989,28.19339666,2.24419316
6.037567662,28.23056968,2.244800421
6.040085335,28.26774269,2.245407683
6.042603007,28.30491571,2.246014945
6.04512068,28.34208873,2.246622207
6.047638353,28.37926175,2.247229469
6.050156026,28.41643476,2.24783673
6.052673699,28.45360778,2.248443992
6.055191372,28.4907808,2.249051254
6.057709044,28.52795381,2.249658516
6.060226717,28.56512683,2.250265777
6.06274439,28.60229985,2.250873039
6.065262063,28.63947287,2.251480301
6.067779736,28.67664588,2.252087563
6.070297408,28.7138189,2.252694825
6.072815081,28.75099192,2.253302086
6.075332754,28.78816494,2.253909348
6.077850427,28.82533795,2.25451661
6.0803681,28.86251097,2.255123872
6.082885772,28.89968399,2.255731133
6.085403445,28.93685701,2.256338395
6.087921118,28.97403002,2.256945657
6.090438791,29.01120304,2.257552919
6.092956464,29.04837606,2.258160181
6.095474136,29.08554907,2.258767442
6.097991809,29.12272209,2.259374704
6.100509482,29.15989511,2.259981966
6.103027155,29.19706813,2.260589228
6.105544828,29.23424114,2.261196489
6.1080625,29.27141416,2.261803751
6.110580173,29.30858718,2.262411013
6.113097846,29.3457602,2.263018275
6.115615519,29.38293321,2.263625536
6.118133192,29.42010623,2.264232798
6.120650865,29.45727925,2.26484006
6.123168537,29.49445227,2.265447322
6.12568621,29.53162528,2.266054584
6.128203883,29.5687983,2.266661845
6.130721556,29.60597132,2.267269107
6.133239229,29.64314434,2.267876369
6.135756901,29.68031735,2.268483631
6.138274574,29.71749037,2.269090892
6.140792247,29.75466339,2.269698154
6.14330992,29.7918364,2.270305416
6.145827593,29.82900942,2.270912678
