Time,angle,PWM Volt
1.856,-37.152,1.431
1.858,-37.275,1.466
1.861,-37.403,1.478
1.863,-37.473,1.466
1.865,-37.45,1.455
1.868,-37.351,1.455
1.87,-37.206,1.455
1.873,-37.041,1.455
1.875,-36.864,1.455
1.878,-36.674,1.466
1.88,-36.48,1.466
1.882,-36.299,1.478
1.885,-36.158,1.466
1.887,-36.051,1.466
1.889,-35.942,1.49
1.892,-35.822,1.49
1.894,-35.7,1.478
1.897,-35.591,1.466
1.899,-35.502,1.466
1.901,-35.422,1.455
1.911,-35.462,1.455
1.913,-35.57,1.466
1.916,-35.733,1.501
1.918,-35.922,1.455
1.921,-36.118,1.478
1.923,-36.314,1.466
1.925,-36.492,1.466
1.928,-36.621,1.478
1.93,-36.684,1.478
1.932,-36.694,1.466
1.935,-36.698,1.455
1.937,-36.725,1.455
1.94,-36.793,1.455
1.942,-36.886,1.501
1.944,-36.957,1.501
1.947,-36.966,1.466
1.949,-36.899,1.478
1.952,-36.768,1.478
1.954,-36.591,1.466
1.956,-36.381,1.501
1.959,-36.158,1.501
1.961,-35.929,1.478
1.964,-35.698,1.466
1.966,-35.47,1.478
1.968,-35.245,1.513
1.971,-35.026,1.501
1.973,-34.821,1.501
1.975,-34.611,1.49
1.978,-34.405,1.478
1.98,-34.205,1.478
1.983,-34.059,1.501
1.985,-33.928,1.501
1.987,-33.824,1.501
1.99,-33.752,1.49
1.992,-33.745,1.49
1.995,-33.767,1.478
1.997,-33.766,1.478
1.999,-33.806,1.501
2.002,-33.862,1.49
2.011,-33.892,1.478
2.014,-33.955,1.501
2.016,-34.035,1.478
2.019,-34.11,1.478
2.021,-34.184,1.513
2.023,-34.255,1.513
2.026,-34.324,1.501
2.028,-34.378,1.49
2.031,-34.42,1.49
2.033,-34.45,1.478
2.035,-34.505,1.501
2.038,-34.556,1.513
2.04,-34.615,1.513
2.042,-34.665,1.49
2.045,-34.711,1.49
2.047,-34.75,1.49
2.05,-34.795,1.478
2.052,-34.833,1.513
2.055,-34.871,1.513
2.057,-34.891,1.501
2.059,-34.899,1.501
2.062,-34.913,1.537
2.064,-34.938,1.478
2.066,-34.963,1.537
2.069,-34.98,1.501
2.071,-35.003,1.513
2.074,-35.024,1.49
2.076,-35.041,1.49
2.078,-35.048,1.49
2.081,-35.031,1.537
2.083,-35.006,1.537
2.086,-34.961,1.513
2.088,-34.909,1.49
2.09,-34.85,1.501
2.093,-34.815,1.537
2.095,-34.763,1.537
2.098,-34.71,1.537
2.1,-34.665,1.513
2.109,-34.64,1.525
2.112,-34.613,1.525
2.114,-34.59,1.513
2.117,-34.569,1.501
2.119,-34.551,1.537
2.121,-34.533,1.537
2.124,-34.508,1.537
2.126,-34.487,1.525
2.129,-34.464,1.513
2.131,-34.42,1.525
2.134,-34.358,1.537
2.136,-34.271,1.537
2.138,-34.157,1.513
2.141,-34.029,1.525
2.143,-33.872,1.525
2.145,-33.687,1.537
2.148,-33.481,1.525
2.15,-33.265,1.513
2.153,-33.039,1.513
2.155,-32.813,1.537
2.157,-32.602,1.537
2.16,-32.387,1.525
2.162,-32.176,1.537
2.165,-31.958,1.525
2.167,-31.723,1.525
2.169,-31.478,1.501
2.172,-31.224,1.537
2.174,-30.968,1.525
2.177,-30.715,1.525
2.179,-30.475,1.537
2.181,-30.253,1.525
2.184,-30.046,1.537
2.186,-29.861,1.537
2.188,-29.701,1.537
2.191,-29.57,1.537
2.193,-29.461,1.525
2.196,-29.423,1.513
2.198,-29.398,1.548
2.2,-29.45,1.537
2.21,-29.471,1.537
2.212,-29.618,1.537
2.215,-29.69,1.537
2.217,-29.696,1.537
2.22,-29.64,1.513
2.222,-29.582,1.56
2.224,-29.555,1.525
2.227,-29.539,1.548
2.229,-29.624,1.525
2.232,-29.716,1.525
2.234,-29.838,1.548
2.236,-29.984,1.56
2.239,-30.142,1.537
2.241,-30.312,1.525
2.243,-30.496,1.525
2.246,-30.696,1.56
2.248,-30.917,1.525
2.251,-31.16,1.537
2.253,-31.408,1.525
2.255,-31.675,1.513
2.258,-31.907,1.548
2.26,-32.136,1.548
2.263,-32.344,1.548
2.265,-32.523,1.537
2.267,-32.7,1.525
2.27,-32.847,1.56
2.272,-32.952,1.56
2.275,-33.02,1.537
2.277,-33.068,1.537
2.279,-33.097,1.537
2.282,-33.128,1.56
2.284,-33.135,1.56
2.286,-33.127,1.537
2.289,-33.116,1.56
2.291,-33.093,1.548
2.294,-33.084,1.548
2.296,-33.098,1.56
2.299,-33.099,1.56
2.301,-33.077,1.56
2.31,-32.955,1.548
2.313,-32.789,1.572
2.315,-32.582,1.572
2.318,-32.355,1.548
2.32,-32.11,1.548
2.322,-31.847,1.572
2.325,-31.579,1.572
2.327,-31.321,1.548
2.33,-31.094,1.548
2.332,-30.894,1.548
2.334,-30.731,1.548
2.337,-30.598,1.584
2.339,-30.517,1.56
2.342,-30.534,1.548
2.344,-30.556,1.56
2.346,-30.531,1.572
2.349,-30.484,1.595
2.351,-30.406,1.584
2.353,-30.364,1.56
2.356,-30.332,1.548
2.358,-30.343,1.548
2.361,-30.409,1.572
2.363,-30.495,1.584
2.365,-30.599,1.56
2.368,-30.71,1.572
2.37,-30.849,1.548
2.373,-30.988,1.584
2.375,-31.111,1.56
2.378,-31.198,1.56
2.38,-31.25,1.56
2.382,-31.29,1.56
2.385,-31.299,1.584
2.387,-31.288,1.56
2.389,-31.264,1.548
2.392,-31.238,1.595
2.394,-31.229,1.572
2.397,-31.211,1.584
2.399,-31.163,1.584
2.401,-31.077,1.572
2.411,-30.909,1.607
2.413,-30.734,1.595
2.416,-30.537,1.595
2.418,-30.32,1.584
2.42,-30.083,1.56
2.423,-29.831,1.572
2.425,-29.582,1.595
2.427,-29.354,1.607
2.43,-29.158,1.584
2.432,-29.032,1.584
2.435,-28.94,1.595
2.437,-28.875,1.584
2.44,-28.793,1.572
2.442,-28.663,1.607
2.444,-28.517,1.595
2.447,-28.41,1.595
2.449,-28.378,1.619
2.451,-28.411,1.584
2.454,-28.468,1.572
2.456,-28.548,1.584
2.459,-28.655,1.607
2.461,-28.772,1.619
2.463,-28.868,1.619
2.466,-28.929,1.595
2.468,-28.962,1.595
2.471,-28.984,1.595
2.473,-28.986,1.63
2.476,-28.981,1.607
2.478,-28.973,1.607
2.48,-28.937,1.595
2.483,-28.844,1.607
2.485,-28.703,1.595
2.487,-28.534,1.607
2.49,-28.343,1.619
2.492,-28.125,1.607
2.494,-27.893,1.607
2.497,-27.669,1.607
2.499,-27.476,1.619
2.502,-27.337,1.63
2.511,-27.235,1.63
2.514,-27.229,1.619
2.516,-27.26,1.63
2.519,-27.341,1.607
2.521,-27.434,1.607
2.523,-27.49,1.607
2.526,-27.506,1.619
2.528,-27.5,1.607
2.531,-27.484,1.607
2.533,-27.473,1.63
2.535,-27.423,1.63
2.538,-27.305,1.595
2.54,-27.146,1.619
2.542,-26.955,1.619
2.545,-26.733,1.607
2.547,-26.512,1.619
2.55,-26.34,1.63
2.552,-26.202,1.619
2.554,-26.056,1.63
2.557,-25.87,1.63
2.559,-25.696,1.619
2.562,-25.602,1.63
2.564,-25.56,1.619
2.566,-25.571,1.607
2.569,-25.655,1.619
2.571,-25.729,1.63
2.574,-25.745,1.619
2.576,-25.743,1.63
2.578,-25.735,1.63
2.581,-25.727,1.63
2.583,-25.692,1.63
2.586,-25.59,1.642
2.588,-25.446,1.619
2.59,-25.265,1.619
2.593,-25.059,1.63
2.595,-24.862,1.654
2.598,-24.703,1.63
2.6,-24.534,1.619
2.602,-24.346,1.619
2.612,-24.196,1.619
2.614,-24.186,1.642
2.617,-24.174,1.63
2.619,-24.148,1.63
2.621,-24.119,1.619
2.624,-24.112,1.619
2.626,-24.103,1.619
2.629,-24.038,1.595
2.631,-23.931,1.63
2.633,-23.786,1.63
2.636,-23.604,1.619
2.638,-23.402,1.642
2.641,-23.217,1.63
2.643,-23.066,1.619
2.645,-22.934,1.642
2.648,-22.781,1.642
2.65,-22.601,1.595
2.652,-22.518,1.63
2.655,-22.502,1.642
2.657,-22.544,1.642
2.66,-22.629,1.619
2.662,-22.744,1.619
2.664,-22.816,1.619
2.667,-22.837,1.619
2.669,-22.837,1.619
2.672,-22.836,1.63
2.674,-22.842,1.642
2.677,-22.806,1.642
2.679,-22.712,1.63
2.681,-22.585,1.63
2.684,-22.423,1.619
2.686,-22.234,1.642
2.688,-22.044,1.642
2.691,-21.891,1.654
2.693,-21.752,1.63
2.696,-21.588,1.654
2.698,-21.415,1.63
2.7,-21.312,1.607
2.71,-21.138,1.642
2.712,-21.078,1.619
2.715,-21.044,1.607
2.717,-21.031,1.607
2.72,-21.003,1.63
2.722,-20.917,1.63
2.724,-20.793,1.654
2.727,-20.638,1.63
2.729,-20.468,1.63
2.732,-20.321,1.63
2.734,-20.207,1.654
2.736,-20.085,1.642
2.739,-19.917,1.654
2.741,-19.777,1.642
2.744,-19.707,1.654
2.746,-19.711,1.619
2.748,-19.786,1.654
2.751,-19.859,1.63
2.753,-19.89,1.619
2.756,-19.905,1.642
2.758,-19.925,1.654
2.76,-19.939,1.654
2.763,-19.902,1.654
2.765,-19.818,1.63
2.767,-19.697,1.654
2.77,-19.542,1.63
2.772,-19.377,1.642
2.775,-19.239,1.642
2.777,-19.135,1.642
2.779,-19.025,1.642
2.782,-18.884,1.642
2.784,-18.77,1.654
2.787,-18.731,1.654
2.789,-18.741,1.642
2.791,-18.802,1.654
2.794,-18.901,1.666
2.796,-18.964,1.654
2.799,-19.012,1.654
2.801,-19.054,1.642
2.81,-18.929,1.677
2.813,-18.849,1.666
2.815,-18.731,1.677
2.818,-18.603,1.654
2.82,-18.479,1.654
2.822,-18.388,1.654
2.825,-18.307,1.654
2.827,-18.178,1.642
2.83,-18.078,1.642
2.832,-18.066,1.677
2.834,-18.109,1.642
2.837,-18.219,1.666
2.839,-18.365,1.677
2.842,-18.467,1.654
2.844,-18.537,1.666
2.846,-18.591,1.654
2.849,-18.641,1.654
2.851,-18.637,1.666
2.853,-18.585,1.654
2.856,-18.496,1.666
2.858,-18.371,1.654
2.861,-18.24,1.666
2.863,-18.138,1.654
2.865,-18.072,1.666
2.868,-18.021,1.689
2.87,-17.933,1.689
2.873,-17.889,1.677
2.875,-17.895,1.666
2.877,-17.937,1.666
2.88,-18.04,1.677
2.882,-18.122,1.666
2.885,-18.164,1.677
2.887,-18.198,1.666
2.889,-18.237,1.689
2.892,-18.25,1.689
2.894,-18.207,1.666
2.897,-18.122,1.666
2.899,-17.998,1.654
2.901,-17.88,1.654
2.911,-17.733,1.666
2.913,-17.745,1.666
2.916,-17.795,1.689
2.918,-17.82,1.666
2.921,-17.832,1.677
2.923,-17.857,1.666
2.925,-17.873,1.642
2.928,-17.82,1.689
2.93,-17.722,1.689
2.932,-17.589,1.677
2.935,-17.449,1.677
2.937,-17.364,1.666
2.94,-17.271,1.689
2.942,-17.141,1.689
2.944,-17.047,1.701
2.947,-17,1.701
2.949,-17.002,1.677
2.952,-17.049,1.677
2.954,-17.067,1.677
2.956,-17.087,1.677
2.959,-17.11,1.689
2.961,-17.083,1.666
2.964,-16.997,1.701
2.966,-16.872,1.689
2.968,-16.739,1.677
2.971,-16.634,1.689
2.973,-16.502,1.689
2.976,-16.35,1.689
2.978,-16.243,1.701
2.98,-16.166,1.713
2.983,-16.153,1.701
2.985,-16.137,1.689
2.987,-16.122,1.701
2.99,-16.129,1.677
2.992,-16.104,1.677
2.995,-16.022,1.701
2.997,-15.901,1.701
3,-15.764,1.701
3.002,-15.648,1.677
3.011,-15.506,1.689
3.014,-15.463,1.689
3.016,-15.442,1.677
3.019,-15.434,1.701
3.021,-15.405,1.689
3.023,-15.324,1.677
3.026,-15.202,1.689
