26.386,0.988,1.701
26.409,1.11,1.701
26.432,1.101,1.689
26.455,0.945,1.701
26.477,0.73,1.689
26.5,0.568,1.713
26.523,0.537,1.724
26.546,0.635,1.701
26.569,0.828,1.701
26.592,1.101,1.701
26.615,1.436,1.713
26.638,1.774,1.701
26.661,2.082,1.689
26.683,2.401,1.701
26.706,2.833,1.689
26.729,3.377,1.76
26.752,3.917,1.689
26.775,4.351,1.736
26.798,4.693,1.689
26.821,4.983,1.713
26.844,5.174,1.701
26.866,5.203,1.748
26.889,5.122,1.701
26.912,4.959,1.748
26.935,4.677,1.748
26.958,4.251,1.689
26.981,3.758,1.713
27.004,3.311,1.736
27.097,2.83,1.736
27.12,2.628,1.736
27.143,2.626,1.736
27.166,2.923,1.713
27.189,3.28,1.701
27.212,3.509,1.724
27.235,3.689,1.713
27.257,3.722,1.701
27.28,3.589,1.748
27.303,3.381,1.713
27.326,3.083,1.724
27.349,2.653,1.689
27.372,2.183,1.701
27.395,1.751,1.689
27.418,1.475,1.748
27.44,1.31,1.701
27.463,1.3,1.689
27.486,1.364,1.748
27.509,1.491,1.748
27.532,1.666,1.677
27.555,1.842,1.748
27.578,1.995,1.713
27.601,2.258,1.701
27.624,2.741,1.701
27.646,3.309,1.748
27.669,3.779,1.701
27.692,4.131,1.748
27.715,4.311,1.689
27.738,4.388,1.689
27.761,4.312,1.701
27.784,4.107,1.689
27.807,3.882,1.748
27.829,3.548,1.701
27.852,3.201,1.736
27.875,2.888,1.713
27.898,2.693,1.724
27.921,2.694,1.701
27.944,2.822,1.701
27.967,3.001,1.748
27.99,3.228,1.701
28.012,3.486,1.736
28.108,4.108,1.642
28.131,4.549,1.642
28.154,4.88,1.595
28.177,5.123,1.584
28.2,5.268,1.584
28.223,5.411,1.513
28.245,5.52,1.478
28.268,5.585,1.548
28.291,5.606,1.49
28.314,5.622,1.537
28.337,5.672,1.49
28.36,5.792,1.501
28.383,6.01,1.49
28.406,6.324,1.537
28.428,6.687,1.501
28.451,7.072,1.478
28.474,7.46,1.501
28.497,7.847,1.49
28.52,8.22,1.49
28.543,8.58,1.49
28.566,8.928,1.537
28.589,9.272,1.478
28.612,9.5,1.537
28.634,9.634,1.49
28.657,9.642,1.525
28.68,9.573,1.49
28.703,9.436,1.501
28.726,9.256,1.537
28.749,9.056,1.49
28.772,8.9,1.478
28.795,8.798,1.501
28.817,8.725,1.501
28.84,8.698,1.49
28.863,8.702,1.466
28.886,8.694,1.525
28.909,8.711,1.49
28.932,8.638,1.501
28.955,8.614,1.49
28.978,8.556,1.537
