Time,Angle,PWM_Voltage
26.409,1.09964739911613,1.7009678102712
26.432,0.972941906613406,1.70046247852193
26.455,0.844871140045591,1.70098519684177
26.477,0.729431988642997,1.70277051186995
26.5,0.652228407967082,1.70501833051366
26.523,0.639891714901498,1.70643222431796
26.546,0.709148286271533,1.70635925287513
26.569,0.862405781013411,1.70523750145631
26.592,1.0901741090363,1.70379872590744
26.615,1.37734621016656,1.70244109106115
26.638,1.71050133130665,1.70159110413684
26.661,2.08305940693617,1.70203771577196
26.683,2.49433484959183,1.70435129021194
26.706,2.94168344323522,1.70796090418948
26.729,3.4116482723023,1.71118245711948
26.752,3.87821898308831,1.71268160090631
26.775,4.30937539781517,1.71270972161821
26.798,4.67499116657413,1.71267408052876
26.821,4.95023437954291,1.71396159693819
26.844,5.1158740326138,1.71692998876663
26.866,5.15921648409777,1.7206712019602
26.889,5.07558597359069,1.72386865252929
26.912,4.86926075057533,1.72554317283015
26.935,4.55557690281633,1.72547930733735
26.958,4.16480302124476,1.7248528530562
26.981,3.74384644463373,1.72535582272271
27.004,3.35196676513923,1.7270854443254
27.097,3.05028467697484,1.72844688149427
27.12,2.88607574483782,1.72791780962827
27.143,2.87592441400626,1.7252211893484
27.166,2.99691315640132,1.7214430057483
27.189,3.19312327173111,1.7182657239265
27.212,3.39482033326271,1.71668955172142
27.235,3.53876377729183,1.71658970876295
27.257,3.58067112910609,1.71712666060499
27.28,3.49966199164694,1.71698105527196
27.303,3.29719463053176,1.71503673315456
27.326,2.99341170865005,1.71154097155119
27.349,2.62393637115688,1.70815001898868
27.372,2.23582183867836,1.70669104276023
27.395,1.87920915617174,1.70778029229982
27.418,1.59593741828879,1.71051902111333
27.44,1.41072655321992,1.71381359463315
27.463,1.32908948339886,1.71728960146978
27.486,1.34193159869944,1.72022575513369
27.509,1.43399364135212,1.72139025211531
27.532,1.59243403122228,1.72070384186323
27.555,1.81249169936098,1.71916269007321
27.578,2.09728814469352,1.71757090692513
27.601,2.44914265806888,1.71663121533627
27.624,2.85586774972817,1.71666769262766
27.646,3.28342609030245,1.71672678098574
27.669,3.68265105789696,1.71529426112945
27.692,4.0045397135586,1.71184029463785
27.715,4.21312103909661,1.70750458812064
27.738,4.29090724047352,1.7045578850956
27.761,4.23881219196926,1.7047508152054
27.784,4.07365047921365,1.70799273027858
27.807,3.8246762968558,1.71259021821119
27.829,3.53047011169945,1.71664342965644
27.852,3.2361382547509,1.71922153426103
27.875,2.98820330108272,1.72038030483399
27.898,2.82630535282665,1.72070251382711
27.921,2.77516466449162,1.72077763129132
27.944,2.84188773642193,1.72017812875082
27.967,3.0199950213089,1.71671233815542
27.99,3.29497934207711,1.70738481430771
28.012,3.64451908157319,1.69044013372169
28.108,4.03449702314697,1.66663364023353
28.131,4.42169323248745,1.63876928414423
28.154,4.76692542958388,1.60994118619761
28.177,5.04692401899413,1.58222277463562
28.2,5.25600139474426,1.5569386301237
28.223,5.40066757896975,1.53585381911395
28.245,5.49364135455533,1.5209581318733
28.268,5.5512664280777,1.51242068383757
28.291,5.59388256553572,1.50820387722086
28.314,5.64565232219192,1.50601332716011
28.337,5.73162723908066,1.5046627440911
28.36,5.87263627460714,1.50393658039988
28.383,6.08022381760472,1.50353552362908
28.406,6.35415303516601,1.50243732085739
28.428,6.68392143607771,1.49997254445294
28.451,7.05332597490176,1.49698117378595
28.474,7.44523954508642,1.49498276405265
28.497,7.84427346366031,1.49487251397662
28.52,8.23682698923835,1.49681999931426
28.543,8.60927146777398,1.50030673176249
28.566,8.9456374574224,1.50411500547753
28.589,9.22699352839441,1.50712102812956
28.612,9.43447306508219,1.50887976618566
28.634,9.5549094967464,1.50938755765866
28.657,9.58548415531943,1.50890452974853
28.68,9.53503320509108,1.50784210404277
28.703,9.42227425822344,1.50628281272773
28.726,9.27229534167976,1.50375255237429
28.749,9.11207347115408,1.50017671476421
28.772,8.9653032838962,1.496608582405
28.795,8.84788864982049,1.49409163770594
28.817,8.7660036798058,1.49274183266696
28.84,8.71691106945209,1.49253399132606
28.863,8.69145388223441,1.49367436026439
28.886,8.67748073249624,1.4957372561214
28.909,8.66351114146245,1.4976447789045
28.932,8.6415068165418,1.4986987284715
28.955,8.60737671207003,1.49869155124324
28.978,8.55935445181892,1.49760649059183
29,8.49595043950749,1.49641396918144
29.096,8.4156903209917,1.49745294997607
29.119,8.31837443441699,1.50313431368316
29.142,8.1931926178639,1.51474036155071
29.165,7.97405485541034,1.53153020543536
29.188,7.47217197435531,1.54821809416485
29.211,6.32794699207724,1.55170680141665
29.233,4.02134645485116,1.52010408215628
29.256,-0.0348815218992068,1.42614324135216
29.279,-6.2611540628474,1.24684763936629
29.302,-14.4238145314457,0.983009969808272
2.992,-23.2261096961973,0.676766820705978
3.016,-30.8340687363395,0.394428627682815
3.111,-36.0795059798039,0.182470268464307
3.135,-38.9289087257228,0.0496258204799319
3.159,-40.005667791861,-0.0179610805567395
3.182,-40.0440035721334,-0.0410147901786427
3.206,-39.6279811006761,-0.0394647931413417
3.23,-39.1221780578303,-0.0281766400633526
3.254,-38.7025015272374,-0.0159144359424286
3.278,-38.4192777912832,-0.00655882905931894
3.302,-38.2560831759709,-0.000927421083040492
3.326,-38.1713656622595,0.00164733663780039
3.35,-38.1230094429482,0.00226609847046238
3.374,-38.0806077400431,0.00191147139895837
3.398,-38.0302902647411,0.00125223924112197
3.422,-37.9759289925358,0.000646931406869048
3.446,-37.9395361268397,0.000228471974050996
3.47,-37.9613487838707,-7.87203928737413e-07
3.493,-38.0962839501145,-9.54726263849911e-05
3.517,-38.3998476616991,-0.000121938954408462
3.541,-38.8944713670319,-0.000135718598722703
3.565,-39.5288547872805,-0.000171957042319633
3.589,-40.1814868396359,-0.000239883402018008
3.613,-40.7254479503257,-0.000315605421446957
3.637,-41.0882883873397,-0.000332236562299358
3.661,-41.25341955445,-0.000172439546362491
3.685,-41.2294295059236,0.000324159734732375
3.709,-41.0336501779296,0.00131864762097017
3.733,-40.6952458044142,0.00287103541727962
3.757,-40.25588701829,0.0047595754101743
3.78,-39.7637886933541,0.00635880256501177
3.804,-39.2751982551802,0.00689071110121086
3.828,-38.8603986091734,0.00600495315801621
3.852,-38.5933928604962,0.00411274303113133
3.876,-38.5219088365019,0.0021099919736177
3.9,-38.6421599297007,0.000838384085444387
3.924,-38.9010390380272,0.000835275830072846
3.948,-39.222835970062,0.00237830377097187
3.972,-39.5396009207532,0.00559372333138646
3.996,-39.8071478419025,0.0107022330376062
4.02,-40.0027644541565,0.018226066861014
4.114,-40.1149935674348,0.0286923272897675
4.138,-40.1405774799477,0.0420091172412777
4.162,-40.0884966721001,0.0571489113174259
4.186,-39.9782702459459,0.072480909333108
4.21,-39.8317896025638,0.0864964409683353
4.234,-39.6674046374944,0.0982141337958223
4.258,-39.4981699214517,0.107131440388086
4.282,-39.3321061919444,0.113164424208584
4.306,-39.1733532191186,0.116625654418475
4.33,-39.0234804288737,0.118124689131478
4.354,-38.8824623309036,0.118388887752346
4.377,-38.7493307197509,0.118056145226672
4.401,-38.6227482465818,0.117572045946594
4.425,-38.5014802437849,0.117209255052715
4.449,-38.3846063279688,0.117128852031662
4.473,-38.2714834859636,0.117430109714453
4.497,-38.1616592899489,0.118155920404271
4.521,-38.054933458421,0.119235882472875
4.545,-37.9514988305822,0.120496774652363
4.569,-37.851898053397,0.121884183854079
4.593,-37.7567106769963,0.123509473488517
4.617,-37.666255275918,0.125263000741987
